"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.0833055530239","74 /  263     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.0743922719035","15 /  2     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0743922719035","18 /  32     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.0743922719035","0 /  4     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0743922719035","65 /  66     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0743922719035","195 /  41     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0743922719035","52 /  9     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0743922719035","42 /  15     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0743922719035","25 /  7     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0743922719035","16 /  5     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0743922719035","40 /  8     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0743922719035","131 /  16     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.0743922719035","7 /  6     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.0743922719035","0 /  1     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0743922719035","9 /  2     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.0743922719035","0 /  8     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.0743922719035","96 /  53     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.0743922719035","0 /  1     "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Hydrolase","0.0743922719035","0 /  4     "
"HMG-CoA reductase   (by homology)","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0743922719035","142 /  105     "
