node1,node2,experimental
ABCB1,ATP12A,0.063
ABCB1,NR3C1,0.056
ABCB1,OPRD1,0
ABCB1,MAPK3,0.063
ABCB1,ERBB2,0
ABCB1,HMGCR,0.126
ABCB1,KIT,0
ABCB1,BCL2L1,0
ABCB1,CASP3,0
ABCB1,GSTM1,0
ABCB1,NR1I2,0.056
ABCB1,ATP2A1,0.063
ABCB1,MTOR,0.056
ABCB1,PTGS2,0
ABCB1,JUN,0.058
ABCB1,HSP90AB1,0.091
ABCB1,SRC,0.06
ABCB1,MAPK8,0
ADAM17,MAPK14,0
ADAM17,MMP7,0
ADAM17,MAPK3,0
ADAM17,IL1B,0
ADAM17,ERBB2,0
ADAM17,REN,0
ADAM17,MERTK,0
ADAM17,MMP3,0
ADAM17,PRKCB,0
ADAM17,MMP1,0
ADAM17,BACE2,0
ADAM17,SRC,0.27
ADAM17,PRKCA,0
ADCY1,PRKCG,0
ADCY1,PRKCB,0
ADCY1,ADORA2B,0.056
ADCY1,PRKCA,0
ADCY1,PDE1C,0
ADCY1,PDE2A,0.161
ADCY1,PDE4D,0.172
ADCY1,PRKCD,0
ADCY1,PDE10A,0.161
ADCY1,EDNRA,0.056
ADCY1,PRKCE,0
ADORA1,OPRD1,0
ADORA1,MAPK3,0
ADORA1,P2RX3,0
ADORA1,IL1B,0
ADORA1,REN,0
ADORA1,ADORA2B,0.219
ADORA1,ADRB2,0.27
ADORA1,P2RX7,0
ADORA1,ADORA2A,0.474
ADORA1,ADORA3,0
ADORA2A,ATP12A,0
ADORA2A,MAPK3,0
ADORA2A,P2RX3,0
ADORA2A,IL1B,0
ADORA2A,REN,0
ADORA2A,ADORA2B,0.324
ADORA2A,P2RX7,0
ADORA2A,PDE10A,0.064
ADORA2A,ADORA1,0.474
ADORA2B,PYGL,0
ADORA2B,MAPK3,0
ADORA2B,P2RX3,0
ADORA2B,IL1B,0
ADORA2B,REN,0
ADORA2B,ADCY1,0.056
ADORA2B,P2RX7,0
ADORA2B,DPP4,0
ADORA2B,ADORA1,0.219
ADORA2B,ADORA2A,0.324
ADORA3,MAPK3,0
ADORA3,P2RX3,0
ADORA3,IL1B,0
ADORA3,REN,0
ADORA3,P2RX7,0
ADORA3,DPP4,0
ADORA3,ADORA1,0
ADORA3,MAP3K14,0
ADRB1,REN,0
ADRB1,ADRB2,0.182
ADRB1,ADRB3,0
ADRB1,PDE4D,0.182
ADRB2,NR3C1,0.056
ADRB2,OPRD1,0.312
ADRB2,MDM2,0.334
ADRB2,MAPK3,0
ADRB2,IL1B,0.213
ADRB2,GRK7,0.151
ADRB2,ERBB2,0.36
ADRB2,REN,0
ADRB2,PPARG,0.056
ADRB2,INSR,0.225
ADRB2,ADORA1,0.27
ADRB2,ADRB1,0.182
ADRB2,ADRB3,0.213
ADRB2,F2,0.097
ADRB2,PDE4D,0.145
ADRB2,SRC,0.494
ADRB3,PPARG,0.056
ADRB3,FASN,0
ADRB3,ADRB2,0.213
ADRB3,ADRB1,0
ADRB3,SRC,0.281
ALK,MAPK1,0.377
ALK,MDM2,0.056
ALK,MAPK3,0.182
ALK,PIK3CA,0.104
ALK,ERBB2,0.415
