Target,Common.name,Uniprot.ID,ChEMBL.ID,Target.Class,Probability.,Known.actives..3D.2D.,Compuesto
P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.130154379143,153 /  15     ,A
Protein kinase C alpha,PRKCA,P17252,CHEMBL299,Kinase,0.130154379143,61 /  235     ,A
Androgen Receptor,AR,P10275,CHEMBL1871,Nuclear receptor,0.121906255063,107 /  65     ,A
Glucocorticoid receptor,NR3C1,P04150,CHEMBL2034,Nuclear receptor,0.121906255063,98 /  28     ,A
Protein kinase C delta   (by homology),PRKCD,Q05655,CHEMBL2996,Kinase,0.121906255063,62 /  59     ,A
Protein-tyrosine phosphatase 1B,PTPN1,P18031,CHEMBL335,Phosphatase,0.121906255063,102 /  58     ,A
HMG-CoA reductase,HMGCR,P04035,CHEMBL402,Oxidoreductase,0.121906255063,119 /  109     ,A
Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.121906255063,3 /  2     ,A
Protein kinase C epsilon,PRKCE,Q02156,CHEMBL3582,Kinase,0.121906255063,18 /  28     ,A
Inhibitor of nuclear factor kappa B kinase beta subunit,IKBKB,O14920,CHEMBL1991,Kinase,0.121906255063,19 /  6     ,A
Progesterone receptor,PGR,P06401,CHEMBL208,Nuclear receptor,0.121906255063,20 /  42     ,A
Phospholipase A2 group IIA,PLA2G2A,P14555,CHEMBL3474,Enzyme,0.121906255063,19 /  8     ,A
Isoleucyl-tRNA synthetase,IARS,P41252,CHEMBL3235,Enzyme,0.121906255063,0 /  4     ,A
Glutathione S-transferase Mu 1,GSTM1,P09488,CHEMBL2081,Enzyme,0.121906255063,0 /  1     ,A
Protein kinase C beta,PRKCB,P05771,CHEMBL3045,Kinase,0.121906255063,39 /  7     ,A
Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.121906255063,48 /  15     ,A
Protein kinase C eta,PRKCH,P24723,CHEMBL3616,Kinase,0.121906255063,16 /  5     ,A
Protein kinase C theta,PRKCQ,Q04759,CHEMBL3920,Kinase,0.121906255063,38 /  7     ,A
Phosphodiesterase 4D,PDE4D,Q08499,CHEMBL288,Phosphodiesterase,0.121906255063,7 /  11     ,A
Proteinase-activated receptor 2,F2RL1,P55085,CHEMBL5963,Family A G protein-coupled receptor,0.121906255063,0 /  1     ,A
Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.121906255063,30 /  6     ,A
Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.121906255063,40 /  2     ,A
Protein kinase C gamma,PRKCG,P05129,CHEMBL2938,Kinase,0.121906255063,22 /  4     ,A
Mineralocorticoid receptor,NR3C2,P08235,CHEMBL1994,Nuclear receptor,0.121906255063,10 /  19     ,A
Proto-oncogene c-JUN,JUN,P05412,CHEMBL4977,Transcription factor,0.121906255063,8 /  6     ,A
Proto-oncogene vav,VAV1,P15498,CHEMBL3259472,Unclassified protein,0.121906255063,1 /  1     ,A
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,ATP2A1,O14983,CHEMBL3136,Hydrolase,0.121906255063,0 /  4     ,A
Apoptosis regulator Bcl-X,BCL2L1,Q07817,CHEMBL4625,Other ion channel,0.121906255063,4 /  3     ,A
Bromodomain-containing protein 4,BRD4,O60885,CHEMBL1163125,Reader,0.121906255063,40 /  0     ,A
CREB-binding protein/p53,CREBBP,Q92793,CHEMBL5747,Writer,0.121906255063,12 /  0     ,A
Tubulin--tyrosine ligase,TTL,Q8NG68,CHEMBL5549,Enzyme,0.121906255063,7 /  13     ,A
Thrombin,F2,P00734,CHEMBL204,Protease,0.121906255063,44 /  9     ,A
Kappa Opioid receptor,OPRK1,P41145,CHEMBL237,Family A G protein-coupled receptor,0.121906255063,446 /  10     ,A
Programmed cell death protein 4,PDCD4,Q53EL6,CHEMBL1781868,Unclassified protein,0.121906255063,0 /  8     ,A
Ribosomal protein S6 kinase alpha 5,RPS6KA5,O75582,CHEMBL4237,Kinase,0.121906255063,4 /  3     ,A
C-C chemokine receptor type 1,CCR1,P32246,CHEMBL2413,Family A G protein-coupled receptor,0.121906255063,108 /  0     ,A
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA,P67775,CHEMBL4703,Phosphatase,0.121906255063,2 /  8     ,A
Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.121906255063,122 /  0     ,A
Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.121906255063,134 /  0     ,A
Matrix metalloproteinase 1,MMP1,P03956,CHEMBL332,Protease,0.121906255063,152 /  0     ,A
P2X purinoceptor 7,P2RX7,Q99572,CHEMBL4805,Ligand-gated ion channel,0.121906255063,21 /  0     ,A
Nerve growth factor receptor Trk-A,NTRK1,P04629,CHEMBL2815,Kinase,0.121906255063,141 /  0     ,A
Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.121906255063,21 /  83     ,A
Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.121906255063,73 /  0     ,A
Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.121906255063,97 /  3     ,A
Muscle glycogen synthase,GYS1,P13807,CHEMBL4000,Enzyme,0.121906255063,5 /  0     ,A
CDK8/Cyclin C,CCNC CDK8,P24863 P49336,CHEMBL3038474,Kinase,0.121906255063,8 /  0     ,A
Cell division protein kinase 8,CDK8,P49336,CHEMBL5719,Kinase,0.121906255063,13 /  0     ,A
11-beta-hydroxysteroid dehydrogenase 1,HSD11B1,P28845,CHEMBL4235,Enzyme,0.121906255063,106 /  27     ,A
Protein farnesyltransferase,FNTA FNTB,P49354 P49356,CHEMBL2094108,Enzyme,0.121906255063,24 /  10     ,A
Corticosteroid binding globulin,SERPINA6,P08185,CHEMBL2421,Secreted protein,0.121906255063,10 /  15     ,A
Leucine-rich repeat serine/threonine-protein kinase 2,LRRK2,Q5S007,CHEMBL1075104,Kinase,0.121906255063,90 /  0     ,A
Cyclin-dependent kinase 4/cyclin D1,CCND1 CDK4,P24385 P11802,CHEMBL1907601,Kinase,0.121906255063,41 /  0     ,A
Cyclin-dependent kinase 2/cyclin E,CCNE2 CDK2 CCNE1,O96020 P24941 P24864,CHEMBL2094126,Other cytosolic protein,0.121906255063,57 /  0     ,A
MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.121906255063,158 /  0     ,A
Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.121906255063,377 /  2     ,A
"Heat shock protein 75 kDa, mitochondrial",TRAP1,Q12931,CHEMBL1075132,Other cytosolic protein,0.121906255063,4 /  0     ,A
Heat shock protein HSP 90-beta,HSP90AB1,P08238,CHEMBL4303,Other cytosolic protein,0.121906255063,45 /  0     ,A
MAP kinase ERK2,MAPK1,P28482,CHEMBL4040,Kinase,0.121906255063,196 /  0     ,A
Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.121906255063,411 /  1     ,A
Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.121906255063,253 /  0     ,A
Vascular endothelial growth factor receptor 3,FLT4,P35916,CHEMBL1955,Kinase,0.121906255063,13 /  0     ,A
Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.121906255063,48 /  0     ,A
Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1,Q02750,CHEMBL3587,Kinase,0.121906255063,158 /  0     ,A
Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.121906255063,5 /  12     ,A
Phosphodiesterase 10A,PDE10A,Q9Y233,CHEMBL4409,Phosphodiesterase,0.121906255063,259 /  0     ,A
Tyrosine-protein kinase receptor TYRO3,TYRO3,Q06418,CHEMBL5314,Kinase,0.121906255063,32 /  0     ,A
