"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.110041253522","76 /  261     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.0833055530239","74 /  67     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.0833055530239","20 /  32     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0743922719035","194 /  25     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.0743922719035","47 /  10     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0743922719035","108 /  57     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.0743922719035","49 /  15     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.0743922719035","26 /  7     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.0743922719035","16 /  5     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0743922719035","49 /  7     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0743922719035","121 /  20     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.0743922719035","1 /  1     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0743922719035","166 /  99     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.0743922719035","0 /  1     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.0743922719035","65 /  2     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.0743922719035","0 /  4     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.0743922719035","0 /  1     "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Hydrolase","0.0743922719035","0 /  4     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.0743922719035","103 /  58     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0743922719035","30 /  40     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.0743922719035","16 /  2     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.0743922719035","6 /  2     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0743922719035","12 /  11     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.0743922719035","5 /  3     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.0743922719035","0 /  8     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.0743922719035","6 /  13     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.0743922719035","172 /  0     "
"Pregnane X receptor","NR1I2","O75469","CHEMBL3401","Nuclear receptor","0.0743922719035","6 /  0     "
"Heat shock protein 75 kDa, mitochondrial","TRAP1","Q12931","CHEMBL1075132","Other cytosolic protein","0.0743922719035","6 /  0     "
"Heat shock protein HSP 90-beta","HSP90AB1","P08238","CHEMBL4303","Other cytosolic protein","0.0743922719035","59 /  0     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.0743922719035","23 /  6     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.0743922719035","8 /  6     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0743922719035","518 /  10     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.0743922719035","39 /  5     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.0743922719035","148 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.0743922719035","157 /  0     "
"Phospholipase A2 group IIA","PLA2G2A","P14555","CHEMBL3474","Enzyme","0.0743922719035","14 /  8     "
"Cyclin-dependent kinase 1/cyclin B","CCNB3 CDK1 CCNB1 CCNB2","Q8WWL7 P06493 P14635 O95067","CHEMBL2094127","Other cytosolic protein","0.0743922719035","27 /  0     "
"Cyclin-dependent kinase 2/cyclin A","CDK2 CCNA1 CCNA2","P24941 P78396 P20248","CHEMBL2094128","Other cytosolic protein","0.0743922719035","60 /  0     "
"Ribosomal protein S6 kinase alpha 3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.0743922719035","8 /  0     "
"MAP kinase p38 alpha","MAPK14","Q16539","CHEMBL260","Kinase","0.0743922719035","225 /  0     "
"Transient receptor potential cation channel subfamily V member 4","TRPV4","Q9HBA0","CHEMBL3119","Voltage-gated ion channel","0.0743922719035","6 /  5     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.0743922719035","153 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.0743922719035","191 /  0     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.0743922719035","83 /  9     "
"Protein farnesyltransferase","FNTA FNTB","P49354 P49356","CHEMBL2094108","Enzyme","0.0743922719035","32 /  9     "
"Period circadian protein homolog 2","PER2","O15055","CHEMBL3751648","Unclassified protein","0.0743922719035","16 /  0     "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.0743922719035","358 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.0743922719035","110 /  3     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.0743922719035","97 /  0     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.0743922719035","42 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.0743922719035","13 /  0     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.0743922719035","177 /  27     "
"Insulin receptor","INSR","P06213","CHEMBL1981","Kinase","0.0743922719035","15 /  0     "
"Tyrosine-protein kinase ITK/TSK","ITK","Q08881","CHEMBL2959","Kinase","0.0743922719035","52 /  0     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.0743922719035","8 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.0743922719035","15 /  0     "
"Dual specificity mitogen-activated protein kinase kinase 1","MAP2K1","Q02750","CHEMBL3587","Kinase","0.0743922719035","164 /  0     "
"Mitogen-activated protein kinase kinase kinase 1","MAP3K1","Q13233","CHEMBL3956","Kinase","0.0743922719035","2 /  0     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0743922719035","2 /  2     "
"MAP kinase ERK2","MAPK1","P28482","CHEMBL4040","Kinase","0.0743922719035","239 /  0     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.0743922719035","2 /  8     "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.0743922719035","120 /  0     "
"Peptide N-myristoyltransferase 1","NMT1","P30419","CHEMBL2593","Enzyme","0.0743922719035","5 /  0     "
"Cyclin-dependent kinase 9","CDK9","P50750","CHEMBL3116","Kinase","0.0743922719035","50 /  0     "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.0743922719035","24 /  0     "
"Endothelin receptor ET-A","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0743922719035","73 /  4     "
"Cyclin-dependent kinase 4/cyclin D1","CCND1 CDK4","P24385 P11802","CHEMBL1907601","Kinase","0.0743922719035","54 /  0     "
"Cyclin-dependent kinase 2/cyclin E","CCNE2 CDK2 CCNE1","O96020 P24941 P24864","CHEMBL2094126","Other cytosolic protein","0.0743922719035","60 /  0     "
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","PFKFB3","Q16875","CHEMBL2331053","Enzyme","0.0743922719035","97 /  0     "
"Proteasome Macropain subunit","PSMB2","P49721","CHEMBL3492","Protease","0.0743922719035","2 /  0     "
"26S proteosome","PSMB1","P20618","CHEMBL4208","Protease","0.0743922719035","2 /  0     "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.0743922719035","8 /  0     "
"Renin","REN","P00797","CHEMBL286","Protease","0.0743922719035","439 /  0     "
"Thrombin and coagulation factor X","F10","P00742","CHEMBL244","Protease","0.0743922719035","172 /  0     "
"Liver glycogen phosphorylase","PYGL","P06737","CHEMBL2568","Enzyme","0.0743922719035","98 /  0     "
"Protein kinase C (PKC)","PRKCZ","Q05513","CHEMBL3438","Kinase","0.0743922719035","2 /  0     "
"Cytochrome P450 51","CYP51A1","Q16850","CHEMBL3849","Cytochrome P450","0.0743922719035","11 /  0     "
"NAD-dependent deacetylase sirtuin 2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.0743922719035","6 /  0     "
"Adenosine A1 receptor","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.0743922719035","283 /  2     "
"Protein Wnt-3a","WNT3A","P56704","CHEMBL1255137","Unclassified protein","0.0743922719035","14 /  0     "
"Tyrosine-protein kinase JAK3","JAK3","P52333","CHEMBL2148","Kinase","0.0743922719035","139 /  0     "
"Adenosine A3 receptor","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.0743922719035","282 /  0     "
"Tyrosine-protein kinase JAK2","JAK2","O60674","CHEMBL2971","Kinase","0.0743922719035","183 /  0     "
"Tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Enzyme","0.0743922719035","22 /  0     "
"p53-binding protein Mdm-2","MDM2","Q00987","CHEMBL5023","Other nuclear protein","0.0743922719035","204 /  0     "
"Tyrosine-protein kinase SYK","SYK","P43405","CHEMBL2599","Kinase","0.0743922719035","151 /  0     "
"ADAM17","ADAM17","P78536","CHEMBL3706","Protease","0.0743922719035","119 /  0     "
"Tyrosine-protein kinase receptor UFO","AXL","P30530","CHEMBL4895","Kinase","0.0743922719035","25 /  0     "
"Tyrosine-protein kinase receptor TYRO3","TYRO3","Q06418","CHEMBL5314","Kinase","0.0743922719035","36 /  0     "
"Interleukin-6 receptor subunit beta","IL6ST","P40189","CHEMBL3124734","Membrane receptor","0.0743922719035","2 /  0     "
"Caspase-8","CASP8","Q14790","CHEMBL3776","Protease","0.0743922719035","68 /  0     "
"Caspase-1","CASP1","P29466","CHEMBL4801","Protease","0.0743922719035","90 /  0     "
"Vascular endothelial growth factor receptor 3","FLT4","P35916","CHEMBL1955","Kinase","0.0743922719035","16 /  0     "
"Tyrosine-protein kinase receptor FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.0743922719035","67 /  0     "
"Proteasome subunit beta type-8","PSMB8","P28062","CHEMBL5620","Protease","0.0743922719035","21 /  0     "
"Geranylgeranyl transferase type I","PGGT1B FNTA","P53609 P49354","CHEMBL2095164","Enzyme","0.0743922719035","7 /  1     "
"Thromboxane-A synthase","TBXAS1","P24557","CHEMBL1835","Cytochrome P450","0.0743922719035","13 /  0     "
"Complement factor D","CFD","P00746","CHEMBL2176771","Protease","0.0743922719035","64 /  0     "
"Thymidine kinase, cytosolic","TK1","P04183","CHEMBL2883","Transferase","0.0743922719035","7 /  0     "
