"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.130154379143","153 /  15     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.130154379143","61 /  235     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.121906255063","107 /  65     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.121906255063","98 /  28     "
"Protein kinase C delta   (by homology)","PRKCD","Q05655","CHEMBL2996","Kinase","0.121906255063","62 /  59     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.121906255063","102 /  58     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.121906255063","119 /  109     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.121906255063","3 /  2     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.121906255063","18 /  28     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.121906255063","19 /  6     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.121906255063","20 /  42     "
"Phospholipase A2 group IIA","PLA2G2A","P14555","CHEMBL3474","Enzyme","0.121906255063","19 /  8     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.121906255063","0 /  4     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.121906255063","0 /  1     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.121906255063","39 /  7     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.121906255063","48 /  15     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.121906255063","16 /  5     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.121906255063","38 /  7     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.121906255063","7 /  11     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.121906255063","0 /  1     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.121906255063","30 /  6     "
"Interleukin-8 receptor A","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.121906255063","40 /  2     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.121906255063","22 /  4     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.121906255063","10 /  19     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.121906255063","8 /  6     "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.121906255063","1 /  1     "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Hydrolase","0.121906255063","0 /  4     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.121906255063","4 /  3     "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.121906255063","40 /  0     "
"CREB-binding protein/p53","CREBBP","Q92793","CHEMBL5747","Writer","0.121906255063","12 /  0     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.121906255063","7 /  13     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.121906255063","44 /  9     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.121906255063","446 /  10     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.121906255063","0 /  8     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.121906255063","4 /  3     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.121906255063","108 /  0     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.121906255063","2 /  8     "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.121906255063","122 /  0     "
"Cyclin-dependent kinase 1","CDK1","P06493","CHEMBL308","Kinase","0.121906255063","134 /  0     "
"Matrix metalloproteinase 1","MMP1","P03956","CHEMBL332","Protease","0.121906255063","152 /  0     "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.121906255063","21 /  0     "
"Nerve growth factor receptor Trk-A","NTRK1","P04629","CHEMBL2815","Kinase","0.121906255063","141 /  0     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.121906255063","21 /  83     "
"Matrix metalloproteinase 3","MMP3","P08254","CHEMBL283","Protease","0.121906255063","73 /  0     "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.121906255063","97 /  3     "
"Muscle glycogen synthase","GYS1","P13807","CHEMBL4000","Enzyme","0.121906255063","5 /  0     "
