"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.133944629355","171 /  15     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.133944629355","86 /  232     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.133944629355","198 /  109     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.125687252905","124 /  27     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.125687252905","101 /  57     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.125687252905","40 /  42     "
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.125687252905","4 /  3     "
"Phospholipase A2 group IIA","PLA2G2A","P14555","CHEMBL3474","Enzyme","0.125687252905","16 /  8     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.125687252905","81 /  57     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.125687252905","11 /  11     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.125687252905","5 /  2     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.125687252905","136 /  67     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.125687252905","23 /  6     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.125687252905","23 /  27     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.125687252905","46 /  6     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.125687252905","5 /  14     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.125687252905","33 /  6     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.125687252905","30 /  3     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.125687252905","19 /  5     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.125687252905","567 /  10     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.125687252905","0 /  1     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.125687252905","0 /  4     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.125687252905","58 /  15     "
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.125687252905","5 /  12     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.125687252905","220 /  0     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.125687252905","32 /  83     "
"Subtilisin/kexin type 7","PCSK7","Q16549","CHEMBL2232","Protease","0.125687252905","1 /  1     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.125687252905","15 /  19     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.125687252905","0 /  1     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.125687252905","55 /  7     "
