"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Apoptosis regulator Bcl-X","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.142209034952","4 /  3     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.142209034952","125 /  38     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.133944629355","180 /  112     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.133944629355","21 /  6     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.133944629355","73 /  226     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.133944629355","149 /  72     "
"Kappa Opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.125687252905","568 /  9     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.125687252905","5 /  2     "
"Protein kinase C delta","PRKCD","Q05655","CHEMBL2996","Kinase","0.125687252905","78 /  51     "
"Protein kinase C gamma","PRKCG","P05129","CHEMBL2938","Kinase","0.125687252905","30 /  3     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.125687252905","43 /  6     "
"Protein kinase C eta","PRKCH","P24723","CHEMBL3616","Kinase","0.125687252905","19 /  5     "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.125687252905","38 /  42     "
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.125687252905","178 /  15     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.125687252905","77 /  68     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.125687252905","51 /  15     "
"Protein-tyrosine phosphatase 2C","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.125687252905","1 /  2     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.125687252905","36 /  5     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.125687252905","14 /  19     "
"Phospholipase A2 group IIA","PLA2G2A","P14555","CHEMBL3474","Enzyme","0.125687252905","11 /  8     "
"Delta opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.125687252905","488 /  1     "
"Serine/threonine protein phosphatase PP1-gamma catalytic subunit","PPP1CC","P36873","CHEMBL4438","Phosphatase","0.125687252905","0 /  7     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.125687252905","0 /  1     "
"Cytochrome P450 19A1","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.125687252905","34 /  76     "
"C-C chemokine receptor type 1","CCR1","P32246","CHEMBL2413","Family A G protein-coupled receptor","0.125687252905","198 /  0     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.125687252905","237 /  29     "
"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.125687252905","1 /  8     "
"Dual specificity phosphatase Cdc25C","CDC25C","P30307","CHEMBL2378","Phosphatase","0.125687252905","0 /  4     "
"Protein kinase C theta","PRKCQ","Q04759","CHEMBL3920","Kinase","0.125687252905","52 /  7     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.125687252905","5 /  3     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.125687252905","23 /  27     "
"Thrombin","F2","P00734","CHEMBL204","Protease","0.125687252905","69 /  9     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.125687252905","0 /  3     "
"Gamma-secretase","PSEN2 PSENEN NCSTN APH1A PSEN1 APH1B","P49810 Q9NZ42 Q92542 Q96BI3 P49768 Q8WW43","CHEMBL2094135","Protease","0.125687252905","103 /  0     "
"CDK8/Cyclin C","CCNC CDK8","P24863 P49336","CHEMBL3038474","Kinase","0.125687252905","8 /  0     "
"Cell division protein kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.125687252905","15 /  0     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.125687252905","15 /  2     "
"Carboxylesterase 2","CES2","O00748","CHEMBL3180","Enzyme","0.125687252905","5 /  12     "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Enzyme","0.125687252905","5 /  15     "
"Protein kinase C (PKC)","PRKCZ","Q05513","CHEMBL3438","Kinase","0.125687252905","3 /  0     "
"Period circadian protein homolog 2","PER2","O15055","CHEMBL3751648","Unclassified protein","0.125687252905","16 /  0     "
"Corticosteroid binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.125687252905","10 /  14     "
"Phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.125687252905","9 /  12     "
