"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"P-glycoprotein 1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.121906255063","129 /  17     "
"Androgen Receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.121906255063","79 /  55     "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.121906255063","71 /  21     "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Enzyme","0.121906255063","5 /  2     "
"Isoleucyl-tRNA synthetase","IARS","P41252","CHEMBL3235","Enzyme","0.121906255063","0 /  4     "
"Protein kinase C delta   (by homology)","PRKCD","Q05655","CHEMBL2996","Kinase","0.121906255063","55 /  62     "
"Protein kinase C alpha","PRKCA","P17252","CHEMBL299","Kinase","0.121906255063","54 /  246     "
"HMG-CoA reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.121906255063","74 /  111     "
"Proto-oncogene c-JUN","JUN","P05412","CHEMBL4977","Transcription factor","0.121906255063","8 /  6     "
"Ribosomal protein S6 kinase alpha 5","RPS6KA5","O75582","CHEMBL4237","Kinase","0.121906255063","4 /  3     "
"Inhibitor of nuclear factor kappa B kinase beta subunit","IKBKB","O14920","CHEMBL1991","Kinase","0.121906255063","20 /  6     "
"Programmed cell death protein 4","PDCD4","Q53EL6","CHEMBL1781868","Unclassified protein","0.121906255063","0 /  8     "
"Voltage-gated potassium channel subunit Kv1.3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.121906255063","9 /  2     "
"Protein-tyrosine phosphatase 1B","PTPN1","P18031","CHEMBL335","Phosphatase","0.121906255063","98 /  51     "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.121906255063","0 /  1     "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Enzyme","0.121906255063","81 /  25     "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Enzyme","0.121906255063","0 /  1     "
"Protein kinase C epsilon","PRKCE","Q02156","CHEMBL3582","Kinase","0.121906255063","15 /  28     "
"Subtilisin/kexin type 7","PCSK7","Q16549","CHEMBL2232","Protease","0.121906255063","0 /  1     "
"Arachidonate 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.121906255063","26 /  5     "
"Cyclooxygenase-2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.121906255063","38 /  15     "
"Protein kinase C beta","PRKCB","P05771","CHEMBL3045","Kinase","0.121906255063","34 /  7     "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.121906255063","8 /  18     "
