node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCB1	PIM1	9606.ENSP00000478255	9606.ENSP00000362608	0	0	0	0	0	0.282	0	0	0.282
ABCB1	PSMB8	9606.ENSP00000478255	9606.ENSP00000364016	0	0	0	0	0	0.226	0	0	0.226
ADAM17	MAPK1	9606.ENSP00000309968	9606.ENSP00000215832	0	0	0	0	0	0.270	0	0	0.270
ADAM17	PDPK1	9606.ENSP00000309968	9606.ENSP00000344220	0	0	0	0	0	0.270	0	0	0.270
ADAM17	SRC	9606.ENSP00000309968	9606.ENSP00000362680	0	0	0	0	0	0.270	0	0	0.270
ADCY1	PDE2A	9606.ENSP00000297323	9606.ENSP00000334910	0	0	0	0	0	0.161	0	0	0.161
ADCY1	PDE4D	9606.ENSP00000297323	9606.ENSP00000345502	0	0	0	0	0	0.172	0	0	0.171
ADCY1	PDE10A	9606.ENSP00000297323	9606.ENSP00000438284	0	0	0	0	0	0.161	0	0	0.161
ADORA1	GRK7	9606.ENSP00000356205	9606.ENSP00000264952	0	0	0	0	0	0.151	0	0	0.150
ADORA1	ADORA2B	9606.ENSP00000356205	9606.ENSP00000304501	0	0	0	0.913	0	0.219	0	0	0.219
ADORA1	ADRB2	9606.ENSP00000356205	9606.ENSP00000305372	0	0	0	0.673	0	0.270	0	0	0.270
ADORA1	ADORA2A	9606.ENSP00000356205	9606.ENSP00000336630	0	0	0	0.930	0	0.474	0	0	0.474
ADORA1	ADRB1	9606.ENSP00000356205	9606.ENSP00000358301	0	0	0	0.660	0	0.270	0	0	0.270
ADORA2A	GRK7	9606.ENSP00000336630	9606.ENSP00000264952	0	0	0	0	0	0.151	0	0	0.150
ADORA2A	ADORA2B	9606.ENSP00000336630	9606.ENSP00000304501	0	0	0	0.954	0	0.324	0	0	0.324
ADORA2A	ADORA1	9606.ENSP00000336630	9606.ENSP00000356205	0	0	0	0.930	0	0.474	0	0	0.474
